offs	1	k0	k-1

1	5	4	12	
6352	42	6	6	
21690	105	6	7	
15	3	5	5	
4	6	5	5	
746	9	5	2	
1	5	5	2	
6	6	6	6	
23	5	5	2	
1	5	5	2	
1	5	4	3	
1	5	4	4	
6	5	5	2	
49	5	5	2	
6760	178	14	19	
4	5	4	3	
90	5	5	2	
5670	40	6	3	
11	5	5	5	
42	5	5	5	
120	6	5	5	
3	5	5	5	
12000	166	11	10	
196	11	6	6	
468	21	7	7	
26	5	5	5	
34	5	2	5	
750	17	3	6	
3	5	4	5	
6	5	5	5	
5308	49	16	16	
42	6	5	5	
7	5	5	5	
776	9	5	5	
16	5	5	6	
58868	5042	92	86	
192	7	5	7	
1	5	5	3	
2628	28	8	7	
7	5	6	5
83	5	5	5	
1	5	5	5	
544	11	6	6	
20	5	5	5	
126240	702	19	18	
191	9	5	5	
217	7	6	6	
56	5	5	5	
55048	589	17	18	
30	5	5	5	
8	5	5	5	
6	5	5	5	
96	6	5	5	
2328536	51217	141	111	
1	5	2	4	
228	9	4	6	
234	8	4	6	
30	5	5	6	
1	5	4	4	
315	12	5	5	
276	8	5	5	
42	5	5	5	
32	5	5	5	
378	6	5	5	
6	5	6	8		
350	5	6	5	
15552	186	22	20	
2	5	5	5	
7	5	5	5	
504	13	6	5	
120	8	9	8	
30	5	5	5	
46	5	5	5	
20	5	5	6	
121608	1172	108	106	
1	4	5	4	
1402	29	6	6	
126	5	6	5	
7	5	6	5	
4	5	5	5	
8	4	6	5	
3	4	6	5	
30	4	6	5	
1	4	6	5	
72	5	5	6	
1	5	5	5	
17	6	5	5	
1	3	5	4	
1	3	5	5	
24	5	5	6	
1	5	5	5	
1	6	5	5	
216	8	4	6	
3	4	5	5	
332	9	7	6	
792	14	8	6	
57836	3031	40	42	
36	5	11	5	
270	13	9	7	
267	9	2	6	
4	4	5	5	
5	6	3	6	
2	5	7	5	
9	4	2	2	
3	4	2	4	
32	5	5	3	
6	4	5	3	
118	5	5	5	
72	5	6	5	
484	11	6	4	
1	5	4	3	
3	5	5	3	
1396344	21825	103	86	
1	5	4	4	
2520	24	6	6	
1724	29	12	12	
1	5	5	5	
42	5	5	5	
5	5	2	5	
1771560	14713	5	10	
590196	6670	51	59	
1	5	4	4	
2	5	5	5	
22	5	5	5	
7	5	5	5	
55684	481	17	17	
5	5	5	5	
33	5	5	5	
5	6	5	5	
147660	4320	107	102	
90	3	5	5	
306	3	5	5	
3200	48	16	18	
1400	38	13	13	
224472	11898	82	70	
1	5	5	5	
5	5	5	5	
49	5	5	6	
892	10	5	5	
21	5	5	5	
1746	21	6	6	
500	12	6	6	
21	5	5	5	
30	5	5	5	
7	5	6	5	
208	12	7	5	
17	5	6	6	
3	5	5	6	
23040	588	44	51	
3	9	5	4	
3420	33	16	16	
136	5	5	5	
2	9	5	5	
1	2	5	5	
300	5	7	7	
4916	49	7	6	
110	6	6	6	
39074	416	20	29	
19	5	6	5	
10	5	3	5	
9	5	6	5	
95928	1396	20	23	
292	9	6	6	
8	5	5	5	
612	11	6	6		
